DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2019-01-30	30647433	Legge SE	2019-01-15	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30647433	A genome-wide association study in individuals of African ancestry reveals the importance of the Duffy-null genotype in the assessment of clozapine-related neutropenia.	Neutrophil level response to clozapine in treatment-resistant schizophrenia	552 Sub-Saharan African ancestry individuals	NA	9q32	9	114026974	ZNF618	ZNF618			ENSG00000157657			rs77198048-T	rs77198048	0	77198048	intron_variant	0	0.107	9E-9	8.045757490560675		1.625	[1.07-2.18] unit increase	Illumina [~ 13500000] (imputed)	N	neutrophil count, treatment refractory schizophrenia, response to clozapine	http://www.ebi.ac.uk/efo/EFO_0004833, http://www.ebi.ac.uk/efo/EFO_0004609, http://purl.obolibrary.org/obo/GO_0097338	GCST006987	Genome-wide genotyping array
2016-12-13	26876947	Saito T	2016-02-11	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/26876947	Pharmacogenomic Study of Clozapine-Induced Agranulocytosis/Granulocytopenia in a Japanese Population.	Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia	50 Japanese ancestry cases, 2905 Japanese ancestry controls	NA	3p26.1	3	7146429	GRM7	GRM7			ENSG00000196277			rs3749448-A	rs3749448	0	3749448	intron_variant	0	0.2	2E-6	5.698970004336019		2.96	[2.52-3.4]	Illumina [522694]	N	drug-induced agranulocytosis, treatment refractory schizophrenia, response to clozapine	http://purl.obolibrary.org/obo/HP_0012235, http://www.ebi.ac.uk/efo/EFO_0004609, http://purl.obolibrary.org/obo/GO_0097338	GCST003450	Genome-wide genotyping array
2016-12-13	26876947	Saito T	2016-02-11	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/26876947	Pharmacogenomic Study of Clozapine-Induced Agranulocytosis/Granulocytopenia in a Japanese Population.	Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia	50 Japanese ancestry cases, 2905 Japanese ancestry controls	NA	6p21.32	6	32184665	ZDHHC20P2, HCG25, HCG26, LST1, MICA, FKBPL, AGPAT1, PBX2, NOTCH4, C6orf10, MHC, HLA-X, HCP5, MSH5, C6orf26	AGER - PBX2	ENSG00000229058	ENSG00000236353		343	68	rs1800625-G	rs1800625	0	1800625	intergenic_variant	1	0.084	3E-9	8.522878745280337		3.78	[3.34-4.22]	Illumina [522694]	N	drug-induced agranulocytosis, treatment refractory schizophrenia, response to clozapine	http://purl.obolibrary.org/obo/HP_0012235, http://www.ebi.ac.uk/efo/EFO_0004609, http://purl.obolibrary.org/obo/GO_0097338	GCST003450	Genome-wide genotyping array
2017-02-19	27400856	Legge SE	2016-07-12	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/27400856	Genome-wide common and rare variant analysis provides novel insights into clozapine-associated neutropenia.	Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia	48 European ancestry cases, 18 European ancestry extreme cases, 5,583 European ancestry controls	161 cases, 249 clozapine-exposed controls, 947 unexposed controls	12p12.2	12	20930928	SLCO1B7, SLCO1B3	AC011604.2			ENSG00000257046			rs149104283-T	rs149104283	0	149104283	intron_variant	0	0.0152	2E-8	7.698970004336019		4.3198		Illumina [7559010] (imputed)	N	drug-induced agranulocytosis, treatment refractory schizophrenia, response to clozapine	http://purl.obolibrary.org/obo/HP_0012235, http://www.ebi.ac.uk/efo/EFO_0004609, http://purl.obolibrary.org/obo/GO_0097338	GCST003628	Genome-wide genotyping array
2017-02-19	27400856	Legge SE	2016-07-12	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/27400856	Genome-wide common and rare variant analysis provides novel insights into clozapine-associated neutropenia.	Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia	48 European ancestry cases, 18 European ancestry extreme cases, 5,583 European ancestry controls	161 cases, 249 clozapine-exposed controls, 947 unexposed controls	13q31.1	13	83863953	SLITRK1	AL353688.1 - SLITRK1	ENSG00000286446	ENSG00000178235		209164	13252	rs80208670-C	rs80208670	0	80208670	intergenic_variant	1	0.0124	2E-7	6.698970004336019		4.6904316		Illumina [7559010] (imputed)	N	drug-induced agranulocytosis, treatment refractory schizophrenia, response to clozapine	http://purl.obolibrary.org/obo/HP_0012235, http://www.ebi.ac.uk/efo/EFO_0004609, http://purl.obolibrary.org/obo/GO_0097338	GCST003628	Genome-wide genotyping array
2017-02-19	27400856	Legge SE	2016-07-12	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/27400856	Genome-wide common and rare variant analysis provides novel insights into clozapine-associated neutropenia.	Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia	48 European ancestry cases, 18 European ancestry extreme cases, 5,583 European ancestry controls	161 cases, 249 clozapine-exposed controls, 947 unexposed controls	1p31.1	1	81770721	ADGRL2	ADGRL2			ENSG00000117114			rs184597564-A	rs184597564	0	184597564	intron_variant	0	0.0282	8E-7	6.096910013008056		3.0647		Illumina [7559010] (imputed)	N	drug-induced agranulocytosis, treatment refractory schizophrenia, response to clozapine	http://purl.obolibrary.org/obo/HP_0012235, http://www.ebi.ac.uk/efo/EFO_0004609, http://purl.obolibrary.org/obo/GO_0097338	GCST003628	Genome-wide genotyping array
2017-02-19	27400856	Legge SE	2016-07-12	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/27400856	Genome-wide common and rare variant analysis provides novel insights into clozapine-associated neutropenia.	Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia	48 European ancestry cases, 18 European ancestry extreme cases, 5,583 European ancestry controls	161 cases, 249 clozapine-exposed controls, 947 unexposed controls	7q11.23	7	77339061	GSAP	GSAP			ENSG00000186088			rs78900159-A	rs78900159	0	78900159	intron_variant	0	0.0244	2E-6	5.698970004336019		2.7947		Illumina [7559010] (imputed)	N	drug-induced agranulocytosis, treatment refractory schizophrenia, response to clozapine	http://purl.obolibrary.org/obo/HP_0012235, http://www.ebi.ac.uk/efo/EFO_0004609, http://purl.obolibrary.org/obo/GO_0097338	GCST003628	Genome-wide genotyping array
2017-02-19	27400856	Legge SE	2016-07-12	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/27400856	Genome-wide common and rare variant analysis provides novel insights into clozapine-associated neutropenia.	Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia	48 European ancestry cases, 18 European ancestry extreme cases, 5,583 European ancestry controls	161 cases, 249 clozapine-exposed controls, 947 unexposed controls	10q21.2	10	61386789	TMEM26	LINC00845 - TMEM26	ENSG00000227244	ENSG00000196932		360369	19853	rs16916041-T	rs16916041	0	16916041	intergenic_variant	1	0.0973	2E-6	5.698970004336019		1.9778		Illumina [7559010] (imputed)	N	drug-induced agranulocytosis, treatment refractory schizophrenia, response to clozapine	http://purl.obolibrary.org/obo/HP_0012235, http://www.ebi.ac.uk/efo/EFO_0004609, http://purl.obolibrary.org/obo/GO_0097338	GCST003628	Genome-wide genotyping array
2017-02-19	27400856	Legge SE	2016-07-12	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/27400856	Genome-wide common and rare variant analysis provides novel insights into clozapine-associated neutropenia.	Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia	48 European ancestry cases, 18 European ancestry extreme cases, 5,583 European ancestry controls	161 cases, 249 clozapine-exposed controls, 947 unexposed controls	16p12.1	16	25214699	AQP8	RN7SL557P - AQP8	ENSG00000266166	ENSG00000103375		29161	1032	rs11649311-T	rs11649311	0	11649311	intergenic_variant	1	0.3413	2E-6	5.698970004336019		1.6818029		Illumina [7559010] (imputed)	N	drug-induced agranulocytosis, treatment refractory schizophrenia, response to clozapine	http://purl.obolibrary.org/obo/HP_0012235, http://www.ebi.ac.uk/efo/EFO_0004609, http://purl.obolibrary.org/obo/GO_0097338	GCST003628	Genome-wide genotyping array
2017-02-19	27400856	Legge SE	2016-07-12	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/27400856	Genome-wide common and rare variant analysis provides novel insights into clozapine-associated neutropenia.	Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia	48 European ancestry cases, 18 European ancestry extreme cases, 5,583 European ancestry controls	161 cases, 249 clozapine-exposed controls, 947 unexposed controls	17q22	17	55691674	TMEM100	AC105021.1 - TMEM100	ENSG00000236319	ENSG00000166292		130097	27953	rs117202297-T	rs117202297	0	117202297	regulatory_region_variant	1	0.0122	5E-6	5.301029995663981		4.9702		Illumina [7559010] (imputed)	N	drug-induced agranulocytosis, treatment refractory schizophrenia, response to clozapine	http://purl.obolibrary.org/obo/HP_0012235, http://www.ebi.ac.uk/efo/EFO_0004609, http://purl.obolibrary.org/obo/GO_0097338	GCST003628	Genome-wide genotyping array
2017-02-19	27400856	Legge SE	2016-07-12	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/27400856	Genome-wide common and rare variant analysis provides novel insights into clozapine-associated neutropenia.	Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia	48 European ancestry cases, 18 European ancestry extreme cases, 5,583 European ancestry controls	161 cases, 249 clozapine-exposed controls, 947 unexposed controls	17p12	17	13348756	HS3ST3A1	LINC02093 - HS3ST3A1	ENSG00000234634	ENSG00000153976		41985	145276	rs80282661-T	rs80282661	0	80282661	regulatory_region_variant	1	0.0121	5E-6	5.301029995663981		4.1666		Illumina [7559010] (imputed)	N	drug-induced agranulocytosis, treatment refractory schizophrenia, response to clozapine	http://purl.obolibrary.org/obo/HP_0012235, http://www.ebi.ac.uk/efo/EFO_0004609, http://purl.obolibrary.org/obo/GO_0097338	GCST003628	Genome-wide genotyping array
2017-02-19	27400856	Legge SE	2016-07-12	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/27400856	Genome-wide common and rare variant analysis provides novel insights into clozapine-associated neutropenia.	Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia	48 European ancestry cases, 18 European ancestry extreme cases, 5,583 European ancestry controls	161 cases, 249 clozapine-exposed controls, 947 unexposed controls	1p32.1	1	60238578	C1orf87	LINC02778 - LINC01748	ENSG00000238242	ENSG00000226476		88794	277138	rs185053659-A	rs185053659	0	185053659	intergenic_variant	1	0.0142	8E-6	5.096910013008056		3.7968		Illumina [7559010] (imputed)	N	drug-induced agranulocytosis, treatment refractory schizophrenia, response to clozapine	http://purl.obolibrary.org/obo/HP_0012235, http://www.ebi.ac.uk/efo/EFO_0004609, http://purl.obolibrary.org/obo/GO_0097338	GCST003628	Genome-wide genotyping array
2017-02-19	27400856	Legge SE	2016-07-12	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/27400856	Genome-wide common and rare variant analysis provides novel insights into clozapine-associated neutropenia.	Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia	48 European ancestry cases, 18 European ancestry extreme cases, 5,583 European ancestry controls	161 cases, 249 clozapine-exposed controls, 947 unexposed controls	12q13.13	12	51616324	SCN8A	SCN8A			ENSG00000196876			rs143888465-?	rs143888465	0	143888465	intron_variant	0	NR	4E-6	5.3979400086720375	ANC <1000/mm3	4.94	NR	Illumina [7559010] (imputed)	N	drug-induced agranulocytosis, treatment refractory schizophrenia, response to clozapine	http://purl.obolibrary.org/obo/HP_0012235, http://www.ebi.ac.uk/efo/EFO_0004609, http://purl.obolibrary.org/obo/GO_0097338	GCST003628	Genome-wide genotyping array
2008-06-16	17522711	Lencz T	2007-03-20	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/17522711	Converging evidence for a pseudoautosomal cytokine receptor gene locus in schizophrenia.	Schizophrenia	178 European ancestry cases, 144 European ancestry controls	NA	Xp22.33	X	1029445	CSF2RA, IL3RA	RPL14P5 - CRLF2	ENSG00000225661	ENSG00000205755		19344	158104	rs4129148-C	rs4129148	0	4129148	intergenic_variant	1	NR	4E-7	6.3979400086720375		3.23	[2.04-5.15]	Affymetrix [439511]	N	schizophrenia	http://www.ebi.ac.uk/efo/EFO_0000692	GCST000016	Genome-wide genotyping array
2009-07-13	19571811	Purcell SM	2009-07-01	Nature	www.ncbi.nlm.nih.gov/pubmed/19571811	Common polygenic variation contributes to risk of schizophrenia and bipolar disorder.	Schizophrenia	3,322 European ancestry cases, 3,587 European ancestry controls	4,692 European ancestry cases, 15,493 European ancestry controls	18q21.2	18	55391007	TCF4	TCF4			ENSG00000196628			rs17594526-T	rs17594526	0	17594526	intron_variant	0	0.03	1E-7	7.0		1.44		Affymetrix [739995]	N	schizophrenia	http://www.ebi.ac.uk/efo/EFO_0000692	GCST000434	Genome-wide genotyping array
2009-07-13	19571811	Purcell SM	2009-07-01	Nature	www.ncbi.nlm.nih.gov/pubmed/19571811	Common polygenic variation contributes to risk of schizophrenia and bipolar disorder.	Schizophrenia	3,322 European ancestry cases, 3,587 European ancestry controls	4,692 European ancestry cases, 15,493 European ancestry controls	6p22.1	6	27176104	MHC	MIR3143 - RPL10P2	ENSG00000265565	ENSG00000174572		28416	35140	rs13194053-T	rs13194053	0	13194053	intergenic_variant	1	0.86	1E-8	8.0		1.22		Affymetrix [739995]	N	schizophrenia	http://www.ebi.ac.uk/efo/EFO_0000692	GCST000434	Genome-wide genotyping array
2009-07-13	19571811	Purcell SM	2009-07-01	Nature	www.ncbi.nlm.nih.gov/pubmed/19571811	Common polygenic variation contributes to risk of schizophrenia and bipolar disorder.	Schizophrenia	3,322 European ancestry cases, 3,587 European ancestry controls	4,692 European ancestry cases, 15,493 European ancestry controls	1p21.3	1	96698787	PTBP2	RN7SKP270 - PTBP2	ENSG00000223229	ENSG00000117569		2620	22878	rs7544736-G	rs7544736	0	7544736	intergenic_variant	1	0.18	6E-7	6.221848749616356		1.25		Affymetrix [739995]	N	schizophrenia	http://www.ebi.ac.uk/efo/EFO_0000692	GCST000434	Genome-wide genotyping array
2009-07-13	19571811	Purcell SM	2009-07-01	Nature	www.ncbi.nlm.nih.gov/pubmed/19571811	Common polygenic variation contributes to risk of schizophrenia and bipolar disorder.	Schizophrenia	3,322 European ancestry cases, 3,587 European ancestry controls	4,692 European ancestry cases, 15,493 European ancestry controls	3q26.33	3	180832914	FXR1	AC108734.4, CCDC39			ENSG00000285336, ENSG00000145075			rs6782299-T	rs6782299	0	6782299	intron_variant	0	0.73	1E-7	7.0		1.1		Affymetrix [739995]	N	schizophrenia	http://www.ebi.ac.uk/efo/EFO_0000692	GCST000434	Genome-wide genotyping array
2008-07-22	18332876	Kirov G	2008-03-11	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/18332876	A genome-wide association study in 574 schizophrenia trios using DNA pooling.	Schizophrenia	574 European ancestry trios, 605 European ancestry controls	NA	12q24.23	12	119380704	CCDC60	CCDC60, AC002070.1			ENSG00000183273, ENSG00000248636			rs11064768-A	rs11064768	0	11064768	intron_variant	0	0.91	1E-6	6.0				Illumina [~ 550000]	N	schizophrenia	http://www.ebi.ac.uk/efo/EFO_0000692	GCST000163	Genome-wide genotyping array
2015-05-13	21688384	Wang KS	2011-06-17	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/21688384	Genome-wide association analysis of age at onset in schizophrenia in a European-American sample.	Schizophrenia (age at onset)	1,162 European ancestry cases	1,068 European ancestry cases	4q25	4	108959574	COL25A1	COL25A1			ENSG00000188517			rs17039583-?	rs17039583	0	17039583	intron_variant	0	NR	4E-6	5.3979400086720375		2.431	[NR] unit increase	Affymetrix [722112]	N	schizophrenia, age at onset	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0004847	GCST001115	Genome-wide genotyping array
2015-05-13	21688384	Wang KS	2011-06-17	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/21688384	Genome-wide association analysis of age at onset in schizophrenia in a European-American sample.	Schizophrenia (age at onset)	1,162 European ancestry cases	1,068 European ancestry cases	4p16.1	4	10273370	RAF1P1, WDR1	AC006499.2 - AC006499.3	ENSG00000250074	ENSG00000250505		5139	11591	rs17407555-?	rs17407555	0	17407555	intergenic_variant	1		5E-6	5.301029995663981		1.501	[NR] unit decrease	Affymetrix [722112]	N	schizophrenia, age at onset	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0004847	GCST001115	Genome-wide genotyping array
2011-07-08	21682944	Alkelai A	2011-06-20	Int J Neuropsychopharmacol	www.ncbi.nlm.nih.gov/pubmed/21682944	DOCK4 and CEACAM21 as novel schizophrenia candidate genes in the Jewish population.	Schizophrenia	155 Jewish-Israeli ancestry cases and 176 Jewish-Israeli ancestry controls from 107 families	99 Arab-Israeli ancestry cases and 99 Arab-Israeli ancestry controls from 57 families	10p11.22	10	33799125	NRP1, PARD3	LINC00838 - RPL23P11	ENSG00000261683	ENSG00000226407		26423	65188	rs1412115-?	rs1412115	0	1412115	regulatory_region_variant	1	0.37	6E-6	5.221848749616356				Illumina [311517]	N	schizophrenia	http://www.ebi.ac.uk/efo/EFO_0000692	GCST001119	Genome-wide genotyping array
2011-07-08	21679298	Ma X	2011-06-16	Genes Brain Behav	www.ncbi.nlm.nih.gov/pubmed/21679298	A genome-wide association study for quantitative traits in schizophrenia in China.	Schizophrenia	98 Chinese ancestry cases, 60 Chinese ancestry controls	NA	8p23.1	8	10165428	MSRA	MSRA, MSRA			ENSG00000175806, ENSG00000285250			rs7017212-?	rs7017212	0	7017212	intron_variant	0	.41	4E-6	5.3979400086720375				Illumina [464301]	N	schizophrenia	http://www.ebi.ac.uk/efo/EFO_0000692	GCST001110	Genome-wide genotyping array
2019-10-23	31579629	Fiorica PN	2019-09-26	PeerJ	www.ncbi.nlm.nih.gov/pubmed/31579629	Transcriptome association studies of neuropsychiatric traits in African Americans implicate PRMT7 in schizophrenia.	Schizophrenia	969 African American cases, 1,287 African American controls	NA				PRMT7, SLC7A6OS							rs8063446-?	rs8063446	0	8063446		1	NR	3E-6	5.522878745280337				Affymetrix [12780487] (imputed)	N	schizophrenia	http://www.ebi.ac.uk/efo/EFO_0000692	GCST008906	Genome-wide genotyping array
2019-10-23	31579629	Fiorica PN	2019-09-26	PeerJ	www.ncbi.nlm.nih.gov/pubmed/31579629	Transcriptome association studies of neuropsychiatric traits in African Americans implicate PRMT7 in schizophrenia.	Schizophrenia	969 African American cases, 1,287 African American controls	NA				NR							rs112845369-?	rs112845369	0	112845369		1	NR	1E-6	6.0				Affymetrix [12780487] (imputed)	N	schizophrenia	http://www.ebi.ac.uk/efo/EFO_0000692	GCST008906	Genome-wide genotyping array
